"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RAYMOND","EQ","09-Jul-2020","        269.65","        272.70","        273.90","        268.10","        272.45","        271.95","        271.27","     474590","           128743757.25","       7184","     208278","         43.89"
"RAYMOND","EQ","10-Jul-2020","        271.95","        269.10","        273.60","        262.00","        266.00","        266.30","        266.68","     817728","           218070856.65","      18595","     316910","         38.75"
"RAYMOND","EQ","13-Jul-2020","        266.30","        268.00","        268.70","        257.00","        258.50","        260.00","        262.70","     574316","           150874860.85","      11857","     279821","         48.72"
"RAYMOND","EQ","14-Jul-2020","        260.00","        257.40","        259.90","        248.20","        251.90","        251.10","        251.44","     940280","           236419347.30","      19158","     443197","         47.13"
"RAYMOND","EQ","15-Jul-2020","        251.10","        253.35","        261.45","        250.05","        252.25","        252.30","        255.40","     779727","           199145450.90","      13639","     226951","         29.11"
"RAYMOND","EQ","16-Jul-2020","        252.30","        252.30","        253.95","        244.05","        247.25","        248.75","        248.08","     452861","           112347604.15","      10127","     179846","         39.71"
"RAYMOND","EQ","17-Jul-2020","        248.75","        250.00","        254.40","        248.00","        252.20","        252.45","        251.42","     479501","           120557741.15","       8459","     160669","         33.51"
"RAYMOND","EQ","20-Jul-2020","        252.45","        254.00","        256.70","        252.50","        253.45","        253.25","        254.02","     366543","            93108985.45","       7065","     139868","         38.16"
"RAYMOND","EQ","21-Jul-2020","        253.25","        254.45","        267.40","        251.00","        260.05","        259.55","        259.80","    1385807","           360038431.80","      19173","     506495","         36.55"
"RAYMOND","EQ","22-Jul-2020","        259.55","        261.05","        265.00","        245.30","        249.95","        251.15","        256.40","    1183965","           303570257.10","      18407","     627930","         53.04"
"RAYMOND","EQ","23-Jul-2020","        251.15","        250.00","        255.70","        249.95","        253.00","        253.05","        253.47","     528635","           133993653.15","       8919","     210817","         39.88"
